epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.8644,1.70495,2.75155,1.49817,0.34314,0.36749,0.2915,0.13467,1.38343,33.036,1.22126,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691,0.00995074,0.00331691
2,117.722,1.71516,2.04086,1.46389,0.3621,0.298,0.21937,0.09907,1.53741,22.733,1.29829,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441,0.0197532,0.00658441
3,163.148,1.79704,2.00009,1.5144,0.16833,0.03813,0.02414,0.00999,2.03472,279.095,1.84003,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859,0.0293577,0.0097859
4,209.311,1.89844,2.11963,1.6028,0.27373,0.1948,0.14734,0.07111,1.72768,64.5731,1.5321,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,255.061,1.84179,2.00723,1.5742,0.29758,0.30867,0.22553,0.10835,1.50197,21.2591,1.35308,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,300.195,1.79042,1.88131,1.53022,0.39421,0.34288,0.30714,0.15115,1.42534,10.5878,1.2847,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,344.715,1.74713,1.76721,1.51034,0.45537,0.48707,0.39308,0.19065,1.39483,20.8744,1.27333,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,390.714,1.73564,1.72814,1.49131,0.4352,0.44009,0.34512,0.16536,1.40175,8.22156,1.28,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,435.846,1.68798,1.64025,1.45975,0.46973,0.47035,0.43654,0.22642,1.38161,18.1221,1.25026,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,481.451,1.66214,1.59359,1.43935,0.53032,0.41356,0.43324,0.23126,1.28789,14.3177,1.15236,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,526.946,1.64144,1.53745,1.4254,0.49652,0.46584,0.4396,0.23162,1.30943,6.94362,1.18462,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,572.567,1.61645,1.50597,1.40628,0.54324,0.5509,0.50411,0.27113,1.24209,8.38505,1.11097,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,617.845,1.58895,1.4756,1.40333,0.58384,0.54036,0.51766,0.26796,1.2753,3.88959,1.12384,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
